Ref,Val,Package,PosX,PosY,Rot,Side
"D529","blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-229.235000,-154.940000,180.000000,bottom
"D532","blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.805000,-103.505000,0.000000,bottom
"D533","blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.805000,-73.660000,0.000000,bottom
"D534","blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.805000,-163.195000,0.000000,bottom
"D535","blue","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-35.805000,-133.350000,0.000000,bottom
